app_name,rating,rank,bigram,count
Facebook,3.0,2,won let,300
Facebook,3.0,3,content monetization,300
Facebook,3.0,4,mode showing,300
Facebook,3.0,5,market place,300
Facebook,3.0,6,dark mode,200
Facebook,3.0,7,sim card,200
Facebook,3.0,8,monetization tool,200
Facebook,3.0,9,xu ng,200
Facebook,3.0,10,doesn show,200
Facebook,4.0,1,social media,700
Facebook,4.0,2,great platform,500
Facebook,4.0,3,best social,400
Facebook,4.0,4,family friends,400
Facebook,4.0,5,friends family,400
Facebook,4.0,6,good like,300
Facebook,4.0,7,see memories,300
Facebook,4.0,8,great experience,300
Facebook,4.0,9,good social,300
Facebook,4.0,10,connect people,300
Facebook,5.0,1,social media,6700
Facebook,5.0,2,best social,3600
Facebook,5.0,3,friends family,2600
Facebook,5.0,4,good job,2400
Facebook,5.0,5,family friends,2200
Facebook,5.0,6,face book,2000
Facebook,5.0,7,best ever,1600
Facebook,5.0,8,good service,1400
Facebook,5.0,9,great platform,1400
Facebook,5.0,10,good work,1300
Facebook%20Lite,,1,issues informed,100
Facebook%20Lite,,2,old basic,100
Facebook%20Lite,,3,search bar,100
Facebook%20Lite,,4,results coming,100
Facebook%20Lite,,5,like raise,100
Facebook%20Lite,,6,chat keeps,100
Facebook%20Lite,,7,relevant junk,100
Facebook%20Lite,,8,send connected,100
Facebook%20Lite,,9,downloaded chat,100
Facebook%20Lite,,10,people interact,100
Facebook%20Lite,1.0,1,something went,900
Facebook%20Lite,1.0,2,send messages,900
Facebook%20Lite,1.0,3,didn anything,800
Facebook%20Lite,1.0,4,went wrong,800
Facebook%20Lite,1.0,5,couldn send,800
Facebook%20Lite,1.0,6,suspended reason,800
Facebook%20Lite,1.0,7,disabled without,700
Facebook%20Lite,1.0,8,access messages,700
Facebook%20Lite,1.0,9,community standards,700
Facebook%20Lite,1.0,10,without reason,700
Facebook%20Lite,2.0,1,free mb,300
Facebook%20Lite,2.0,2,keeps showing,200
Facebook%20Lite,2.0,3,playing m,200
Facebook%20Lite,2.0,4,reply messages,200
Facebook%20Lite,2.0,5,watch video,200
Facebook%20Lite,2.0,6,sometimes messages,200
Facebook%20Lite,2.0,7,free mode,200
Facebook%20Lite,2.0,8,half shows,200
Facebook%20Lite,2.0,9,bigla bigla,200
Facebook%20Lite,2.0,10,messages won,200
Facebook%20Lite,3.0,1,social media,300
Facebook%20Lite,3.0,2,good experience,300
Facebook%20Lite,3.0,3,community standards,200
Facebook%20Lite,3.0,4,pero minsan,200
Facebook%20Lite,3.0,5,create new,200
Facebook%20Lite,3.0,6,ntombizamandela thikani,200
Facebook%20Lite,3.0,7,enable feature,200
Facebook%20Lite,3.0,8,ang free,200
Facebook%20Lite,3.0,9,ng matagal,200
Facebook%20Lite,3.0,10,add friends,200
Facebook%20Lite,4.0,1,social media,500
Facebook%20Lite,4.0,2,good job,400
Facebook%20Lite,4.0,3,great experience,300
Facebook%20Lite,4.0,4,best ever,300
Facebook%20Lite,4.0,5,face book,300
Facebook%20Lite,4.0,6,good bad,300
Facebook%20Lite,4.0,7,super amazing,200
Facebook%20Lite,4.0,8,good overall,200
Facebook%20Lite,4.0,9,keep good,200
Facebook%20Lite,4.0,10,around world,200
Facebook%20Lite,5.0,1,best ever,4000
Facebook%20Lite,5.0,2,social media,3000
Facebook%20Lite,5.0,3,good job,1800
Facebook%20Lite,5.0,4,best social,1500
Facebook%20Lite,5.0,5,good service,1400
Facebook%20Lite,5.0,6,good nice,1400
Facebook%20Lite,5.0,7,good luck,1300
Facebook%20Lite,5.0,8,good fast,1200
Facebook%20Lite,5.0,9,nice good,1200
Facebook%20Lite,5.0,10,good work,1200
Facebook%20Messenger,,1,search conversation,400
Facebook%20Messenger,,2,doesn work,300
Facebook%20Messenger,,3,waiting network,300
Facebook%20Messenger,,4,send messages,200
Facebook%20Messenger,,5,read messages,200
Facebook%20Messenger,,6,green dot,200
Facebook%20Messenger,,7,keeps saying,200
Facebook%20Messenger,,8,session expired,200
Facebook%20Messenger,,9,stuck sending,200
Facebook%20Messenger,,10,work anymore,200
Facebook%20Messenger,1.0,1,end end,4400
Facebook%20Messenger,1.0,2,keeps crashing,3900
Facebook%20Messenger,1.0,3,end encryption,2600
Facebook%20Messenger,1.0,4,doesn work,2400
Facebook%20Messenger,1.0,5,send messages,2100
Facebook%20Messenger,1.0,6,session expired,1700
Facebook%20Messenger,1.0,7,video call,1700
Facebook%20Messenger,1.0,8,won let,1700
Facebook%20Messenger,1.0,9,read messages,1300
Facebook%20Messenger,1.0,10,active status,1300
Facebook%20Messenger,2.0,1,keeps crashing,700
